Tournament Name,Players,Seed
DAIHATSU Indonesia Masters 2023,Anthony Sinisuka Ginting,5
DAIHATSU Indonesia Masters 2023,Jonatan Christie,4
DAIHATSU Indonesia Masters 2023,Lakshya Sen,7
DAIHATSU Indonesia Masters 2023,Chou Tien Chen,6
DAIHATSU Indonesia Masters 2023,Loh Kean Yew,3
DAIHATSU Indonesia Masters 2023,Prannoy H. S.,8
DAIHATSU Indonesia Masters 2023,Lee Zii Jia,2
